t_gps,kf_lat,kf_lon,kf_h,rts_lat,rts_lon,rts_h,kf_sigma,rts_sigma
930,33.578577,-117.06443,355.074869,33.578377,-117.064249,456.634699,24.863262,1.804968
945,33.57858,-117.064429,353.722604,33.578377,-117.064249,456.635302,24.617082,1.804527
960,33.578583,-117.064428,352.36995,33.578377,-117.064249,456.635905,24.376262,1.804086
975,33.578586,-117.064428,351.060035,33.578377,-117.064249,456.636509,24.140721,1.803646
990,33.578589,-117.064427,349.758738,33.578377,-117.064249,456.637112,23.910005,1.803205
1005,33.578591,-117.064426,348.482068,33.578377,-117.064249,456.637715,23.683634,1.802764
1020,33.578594,-117.064425,347.227237,33.578377,-117.064249,456.638319,23.45989,1.802324
1035,33.578597,-117.064424,345.933611,33.578377,-117.064249,456.638922,23.241803,1.801883
1050,33.5786,-117.064424,344.652751,33.578377,-117.064249,456.639525,23.02197,1.801443
1065,33.578603,-117.064423,343.419251,33.578377,-117.064249,456.640129,22.804412,1.801002
1080,33.578605,-117.064422,342.195409,33.578377,-117.064249,456.640732,22.58996,1.800562
1095,33.578608,-117.064422,340.991344,33.578377,-117.064249,456.641335,22.379919,1.800121
1110,33.578611,-117.064421,339.796651,33.578377,-117.064249,456.641939,22.175339,1.799681
1125,33.578613,-117.064421,338.591838,33.578377,-117.064249,456.642542,21.973523,1.799241
1140,33.578616,-117.06442,337.405348,33.578377,-117.064249,456.643145,21.773577,1.7988
1155,33.578619,-117.06442,336.214241,33.578377,-117.064249,456.643749,21.578855,1.79836
1170,33.578621,-117.064419,335.104771,33.578377,-117.064249,456.644352,21.382861,1.79792
1185,33.578624,-117.064419,334.006192,33.578377,-117.064249,456.644955,21.19557,1.797479
1200,33.578626,-117.064418,332.958388,33.578377,-117.064249,456.645559,21.004838,1.797039
1215,33.578628,-117.064418,331.89388,33.578377,-117.064249,456.646162,20.817504,1.796599
1230,33.578631,-117.064417,330.840122,33.578377,-117.064249,456.646765,20.631987,1.796159
1245,33.578633,-117.064417,329.841292,33.578377,-117.064249,456.647369,20.450445,1.795719
1260,33.578624,-117.064413,331.740899,33.578376,-117.064249,456.647972,20.423079,1.795279
1275,33.578615,-117.064409,333.61935,33.578376,-117.064249,456.648575,20.389028,1.794838
1290,33.578606,-117.064405,335.419027,33.578376,-117.064249,456.649179,20.355168,1.794398
1305,33.578598,-117.064401,337.183605,33.578376,-117.064249,456.649782,20.319049,1.793958
1320,33.578589,-117.064397,338.952794,33.578376,-117.064249,456.650385,20.271372,1.793518
1335,33.578581,-117.064394,340.618746,33.578376,-117.064249,456.650989,20.22887,1.793078
1350,33.578572,-117.06439,342.262862,33.578376,-117.064249,456.651592,20.179348,1.792638
1365,33.578564,-117.064387,343.853498,33.578376,-117.064249,456.652195,20.130763,1.792199
1380,33.578557,-117.064383,345.397904,33.578376,-117.064249,456.652799,20.077314,1.791759
1395,33.578549,-117.06438,346.886246,33.578376,-117.064249,456.653402,20.023835,1.791319
1410,33.578542,-117.064376,348.317537,33.578376,-117.064249,456.654005,19.96807,1.790879
1425,33.578535,-117.064373,349.732025,33.578376,-117.064249,456.654609,19.906092,1.790439
1440,33.578527,-117.06437,351.089169,33.578376,-117.064249,456.655212,19.846536,1.789999
1455,33.578521,-117.064367,352.406525,33.578376,-117.064249,456.655815,19.779067,1.78956
1470,33.578514,-117.064363,353.666842,33.578376,-117.064249,456.656419,19.713506,1.78912
1485,33.578507,-117.06436,354.870147,33.578376,-117.064249,456.657022,19.645334,1.78868
1500,33.578501,-117.064357,356.014788,33.578376,-117.064249,456.657625,19.575127,1.78824
1515,33.578495,-117.064354,357.145403,33.578376,-117.064249,456.658229,19.503102,1.787801
1530,33.578489,-117.064351,358.235808,33.578376,-117.064249,456.658832,19.425305,1.787361
1545,33.578483,-117.064348,359.289259,33.578376,-117.064249,456.659435,19.348276,1.786922
1560,33.578477,-117.064345,360.292438,33.578376,-117.064249,456.660039,19.268622,1.786482
1575,33.578472,-117.064343,361.241279,33.578376,-117.064249,456.660642,19.190834,1.786042
1590,33.578466,-117.06434,362.111146,33.578376,-117.064249,456.661245,19.115485,1.785603
1605,33.578461,-117.064337,362.955211,33.578376,-117.064249,456.661849,19.036332,1.785163
1620,33.578456,-117.064335,363.765152,33.578376,-117.064249,456.662452,18.958453,1.784724
1635,33.578451,-117.064332,364.542096,33.578376,-117.064249,456.663055,18.877528,1.784285
1650,33.578447,-117.06433,365.283015,33.578376,-117.064249,456.663659,18.797896,1.783845
1665,33.578442,-117.064327,365.991537,33.578376,-117.064249,456.664262,18.718167,1.783406
1680,33.578437,-117.064325,366.675686,33.578376,-117.064249,456.664865,18.634894,1.782966
1695,33.578433,-117.064323,367.308944,33.578376,-117.064249,456.665469,18.557996,1.782527
1710,33.578429,-117.06432,367.900433,33.578376,-117.064249,456.666072,18.477275,1.782088
1725,33.578425,-117.064318,368.482527,33.578376,-117.064249,456.666675,18.397346,1.781649
1740,33.578421,-117.064316,369.040359,33.578376,-117.064249,456.667278,18.319454,1.781209
1755,33.578417,-117.064314,369.582322,33.578376,-117.064249,456.667882,18.238647,1.78077
1770,33.578413,-117.064312,370.072574,33.578376,-117.064249,456.668485,18.161376,1.780331
1785,33.578409,-117.06431,370.546318,33.578376,-117.064249,456.669088,18.082429,1.779892
1800,33.578406,-117.064308,370.98676,33.578376,-117.064249,456.669692,18.006443,1.779453
1815,33.578402,-117.064306,371.414014,33.578376,-117.064249,456.670295,17.9273,1.779014
1830,33.578399,-117.064304,371.818346,33.578376,-117.064249,456.670898,17.847385,1.778574
1845,33.578396,-117.064302,372.202758,33.578376,-117.064249,456.671502,17.768842,1.778135
1860,33.578392,-117.0643,372.559754,33.578376,-117.064249,456.672105,17.688027,1.777696
1875,33.578389,-117.064299,372.90073,33.578376,-117.064249,456.672708,17.607834,1.777257
1890,33.578386,-117.064297,373.236828,33.578376,-117.064249,456.673312,17.523935,1.776818
1905,33.578383,-117.064296,373.547835,33.578376,-117.064249,456.673915,17.441895,1.77638
1920,33.578381,-117.064294,373.844114,33.578376,-117.064249,456.674518,17.358971,1.775941
1935,33.578378,-117.064292,374.127245,33.578376,-117.064249,456.675122,17.275914,1.775502
1950,33.578375,-117.064291,374.381479,33.578376,-117.064249,456.675725,17.19542,1.775063
1965,33.578372,-117.064289,374.625781,33.578376,-117.064249,456.676328,17.110963,1.774624
1980,33.57837,-117.064288,374.853393,33.578376,-117.064249,456.676932,17.027571,1.774185
1995,33.578368,-117.064286,375.054823,33.578376,-117.064249,456.677535,16.943222,1.773747
2010,33.578365,-117.064285,375.239898,33.578376,-117.064249,456.678138,16.858287,1.773308
2025,33.578363,-117.064283,375.411065,33.578376,-117.064249,456.678742,16.773317,1.772869
2040,33.578361,-117.064282,375.56818,33.578376,-117.064249,456.679345,16.691823,1.77243
2055,33.578359,-117.064281,375.699679,33.578375,-117.064249,456.679948,16.610518,1.771992
2070,33.578357,-117.06428,375.804402,33.578375,-117.064249,456.680552,16.531975,1.771553
2085,33.578355,-117.06428,376.267877,33.578375,-117.064249,456.681155,16.480414,1.771115
2100,33.578354,-117.064281,376.72259,33.578375,-117.064249,456.681758,16.429909,1.770676
2115,33.578353,-117.064281,377.144529,33.578375,-117.064249,456.682362,16.379626,1.770238
2130,33.578352,-117.064281,377.566211,33.578375,-117.064249,456.682965,16.325335,1.769799
2145,33.57835,-117.064282,377.984824,33.578375,-117.064249,456.683568,16.269894,1.769361
2160,33.578349,-117.064282,378.332638,33.578375,-117.064249,456.684172,16.218911,1.768922
2175,33.578349,-117.06428,379.314317,33.578375,-117.064249,456.684775,16.159403,1.768484
2190,33.578348,-117.064278,380.248394,33.578375,-117.064249,456.685378,16.102109,1.768045
2205,33.578347,-117.064277,381.181005,33.578375,-117.064249,456.685982,16.040636,1.767607
2220,33.578346,-117.064275,382.048773,33.578375,-117.064249,456.686585,15.983291,1.767169
2235,33.578346,-117.064273,382.905413,33.578375,-117.064249,456.687188,15.923663,1.76673
2250,33.578345,-117.064272,383.757954,33.578375,-117.064249,456.687792,15.861036,1.766292
2265,33.578344,-117.06427,384.554475,33.578375,-117.064249,456.688395,15.802305,1.765854
2280,33.578344,-117.064269,385.340121,33.578375,-117.064249,456.688998,15.741613,1.765416
2295,33.578343,-117.064267,386.100632,33.578375,-117.064249,456.689602,15.680173,1.764977
2310,33.578342,-117.064266,386.797878,33.578375,-117.064249,456.690205,15.62231,1.764539
2325,33.578342,-117.064264,387.496599,33.578375,-117.064249,456.690808,15.561027,1.764101
2340,33.578341,-117.064263,388.174307,33.578375,-117.064249,456.691412,15.50056,1.763663
2355,33.57834,-117.064261,388.805354,33.578375,-117.064249,456.692015,15.444217,1.763225
2370,33.578339,-117.06426,389.439679,33.578375,-117.064249,456.692618,15.385568,1.762787
2385,33.578339,-117.064258,390.05612,33.578375,-117.064249,456.693222,15.327872,1.762349
2400,33.578338,-117.064257,390.612765,33.578375,-117.064249,456.693825,15.273261,1.761911
2415,33.578337,-117.064256,391.165766,33.578375,-117.064249,456.694428,15.214589,1.761473
2430,33.578337,-117.064254,391.694378,33.578375,-117.064249,456.695032,15.157638,1.761035
2445,33.578336,-117.064253,392.195515,33.578375,-117.064249,456.695635,15.100319,1.760597
2460,33.578336,-117.064252,392.698288,33.578375,-117.064249,456.696238,15.040946,1.760159
2475,33.578335,-117.064251,393.186013,33.578375,-117.064249,456.696842,14.98031,1.759722
2490,33.578334,-117.06425,393.626516,33.578375,-117.064249,456.697445,14.922486,1.759284
2505,33.578334,-117.064249,394.062631,33.578375,-117.064249,456.698048,14.862606,1.758846
2520,33.578333,-117.064247,394.478932,33.578375,-117.064249,456.698652,14.802318,1.758408
2535,33.578333,-117.064246,394.855806,33.578375,-117.064249,456.699255,14.747432,1.757971
2550,33.578332,-117.064245,395.224601,33.578375,-117.064249,456.699858,14.691828,1.757533
2565,33.578332,-117.064244,395.5902,33.578375,-117.064249,456.700462,14.635124,1.757095
2580,33.578331,-117.064243,395.92073,33.578375,-117.064249,456.701065,14.579842,1.756658
2595,33.57833,-117.064242,396.224682,33.578375,-117.064249,456.701668,14.527638,1.75622
2610,33.57833,-117.064241,396.531118,33.578375,-117.064249,456.702272,14.472864,1.755782
2625,33.578329,-117.06424,396.827182,33.578375,-117.064249,456.702875,14.41807,1.755345
2640,33.578328,-117.064239,397.09488,33.578375,-117.064249,456.703478,14.366715,1.754907
2655,33.578328,-117.064239,397.366989,33.578375,-117.064249,456.704082,14.312172,1.75447
2670,33.578327,-117.064238,397.639925,33.578375,-117.064249,456.704685,14.256863,1.754032
2685,33.578327,-117.064237,397.883258,33.578375,-117.064249,456.705288,14.205244,1.753595
2700,33.578326,-117.064236,398.108132,33.578375,-117.064249,456.705892,14.151864,1.753158
2715,33.578325,-117.064235,398.336913,33.578375,-117.064249,456.706495,14.098757,1.75272
2730,33.578325,-117.064234,398.536029,33.578375,-117.064249,456.707098,14.047679,1.752283
2745,33.578324,-117.064234,398.74507,33.578375,-117.064249,456.707702,13.996416,1.751846
2760,33.578323,-117.064233,398.951233,33.578375,-117.064249,456.708305,13.940961,1.751408
2775,33.578323,-117.064232,399.136583,33.578375,-117.064249,456.708908,13.889778,1.750971
2790,33.578322,-117.064231,399.277384,33.578375,-117.064249,456.709512,13.84198,1.750534
2805,33.578321,-117.064231,399.448527,33.578375,-117.064249,456.710115,13.78864,1.750097
2820,33.578321,-117.06423,399.624594,33.578375,-117.064249,456.710718,13.733278,1.749659
2835,33.57832,-117.06423,399.766779,33.578374,-117.064249,456.711322,13.680812,1.749222
2850,33.57832,-117.064229,399.914224,33.578374,-117.064249,456.711925,13.626954,1.748785
2865,33.578319,-117.064228,400.057559,33.578374,-117.064249,456.712528,13.571835,1.748348
2880,33.578319,-117.064228,400.19986,33.578374,-117.064249,456.713132,13.515843,1.747911
2895,33.578318,-117.064227,400.317604,33.578374,-117.064249,456.713735,13.462589,1.747474
2910,33.578318,-117.064227,400.451297,33.578374,-117.064249,456.714338,13.407096,1.747037
2925,33.578317,-117.064227,400.575825,33.578374,-117.064249,456.714942,13.350821,1.7466
2940,33.578316,-117.064226,400.650788,33.578374,-117.064249,456.715545,13.301066,1.746163
2955,33.578316,-117.064226,400.711861,33.578374,-117.064249,456.716148,13.252002,1.745726
2970,33.578315,-117.064225,400.796982,33.578374,-117.064249,456.716752,13.198032,1.745289
2985,33.578315,-117.064225,400.882057,33.578374,-117.064249,456.717355,13.143195,1.744853
3000,33.578314,-117.064224,400.972591,33.578374,-117.064249,456.717958,13.089393,1.744416
3015,33.578314,-117.064224,401.046609,33.578374,-117.064249,456.718562,13.036708,1.743979
3030,33.578313,-117.064224,401.134211,33.578374,-117.064249,456.719165,12.98204,1.743542
3045,33.578313,-117.064223,401.194633,33.578374,-117.064249,456.719768,12.931526,1.743106
3060,33.578312,-117.064223,401.233803,33.578374,-117.064249,456.720372,12.883446,1.742669
3075,33.578312,-117.064223,401.281452,33.578374,-117.064249,456.720975,12.834923,1.742232
